# Blackreach Overhaul.esm — glossary scoped to this mod only
#
# The words below are ones the tool could not resolve while trying to translate this mod's item
# "names". Fill in the Japanese column and re-run translation to resolve every name containing it.
# "Remaining" is how many candidates are STILL unresolved because of that word (most first).
# After you fill it in and re-run, that word's "Remaining" becomes 0 — 0 is normal (it means done).
#
# * Write the translation as a NOUN. Words are automatically joined with the particle "の", so
#   writing an adjectival/verb form (e.g. Japanese "〜した"/"〜れた"/"〜く") breaks the composition
#   (produces something like "卓越したの体力", grammatically wrong).
#   Example: 卓越した→卓越, 汚染された→汚染, 錆びた→錆, なびく→はためき
#   A trailing "の" is also unnecessary ("魂の"→"魂" — keeping it produces the doubled "魂のの抱擁").
#
# - Leaving a row blank is fine — any name containing that word simply stays untranslated (in English).
#   You can skip an entire mod's file too.
# - For a word that's an internal tag and should be output as-is, untranslated (e.g. "SMP", "3BBB"), write "=" in the Japanese column.
# - This glossary is used ONLY for this mod's candidates. Unlike the shared Data/name_glossary.tsv,
#   it never affects any other mod, so it only needs to fit this mod's own item lineup (no need for strict generality).
# - The Japanese column is preserved across regeneration (never overwritten), and rows are never dropped.
#
# English	Japanese	Remaining	Example
Idium's	イディウム	0	
Arkenstone		0	
Artisan		0	
Auction		0	
Burial		0	
Foundry		0	
General		0	
Kazgrim		0	
Larder		0	
Study		0	
Vase		0	
Workshop		0	
Accessories	装飾品	0	
Clothing	衣類	0	
Archives	書庫	0	
Assembly	議事堂	0	
Brass	真鍮	0	
Council	評議会	0	
Echoes	残響	0	
Edge	刃	0	
Elysium	エリシウム	0	
Food	食料	0	
Manor	邸宅	0	
Shortsword	ショートソード	0	
Theatre	劇場	0	
Hide	革	0	
