# Light Greatswords.esp — glossary scoped to this mod only
#
# The words below are ones the tool could not resolve while trying to translate this mod's item
# "names". Fill in the Japanese column and re-run translation to resolve every name containing it.
# "Remaining" is how many candidates are STILL unresolved because of that word (most first).
# After you fill it in and re-run, that word's "Remaining" becomes 0 — 0 is normal (it means done).
#
# * Write the translation as a NOUN. Words are automatically joined with the particle "の", so
#   writing an adjectival/verb form (e.g. Japanese "〜した"/"〜れた"/"〜く") breaks the composition
#   (produces something like "卓越したの体力", grammatically wrong).
#   Example: 卓越した→卓越, 汚染された→汚染, 錆びた→錆, なびく→はためき
#   A trailing "の" is also unnecessary ("魂の"→"魂" — keeping it produces the doubled "魂のの抱擁").
#
# - Leaving a row blank is fine — any name containing that word simply stays untranslated (in English).
#   You can skip an entire mod's file too.
# - For a word that's an internal tag and should be output as-is, untranslated (e.g. "SMP", "3BBB"), write "=" in the Japanese column.
# - This glossary is used ONLY for this mod's candidates. Unlike the shared Data/name_glossary.tsv,
#   it never affects any other mod, so it only needs to fit this mod's own item lineup (no need for strict generality).
# - The Japanese column is preserved across regeneration (never overwritten), and rows are never dropped.
#
# English	Japanese	Remaining	Example
Umaril's	ウマリル	0	
Nordic		0	
Rusty		0	
Embrace		0	
Ancient		0	
Psionic		0	
In	=	0	
Avenging	復讐	0	
Slayer	殺し	0	
Soul’s	魂	0	
Veil	帳	0	
Blow	一撃	0	
Dream	夢	0	
Fever	熱病	0	
Igni	イグニ	0	
Impenetrable	難攻不落	0	
Order	騎士団	0	
Rippling	さざめく	0	
Scourgerunner	スカージランナー	0	
Stinger	針	0	
Twin	双	0	
Wavelet	細波	0	
Ashes	灰	0	
Cursed	呪い	0	
Dahlia	ダリア	0	
First	最初	0	
Gwynbleidd	グウィンブレイド	0	
Milady	ミレディ	0	
Needle	針	0	
Niflheimr	ニヴルヘイム	0	
Omen	予兆	0	
Radiance	光輝	0	
Rake	レイク	0	
Riot	騒乱	0	
Rise	昇る	0	
Scarlet	緋色	0	
Tooth	牙	0	
Undertaker	アンダーテイカー	0	
Vow	誓い	0	
Warden	守護者	0	
