# Ordinator - Perks of Skyrim.esp — glossary scoped to this mod only
#
# The words below are ones the tool could not resolve while trying to translate this mod's item
# "names". Fill in the Japanese column and re-run translation to resolve every name containing it.
# "Remaining" is how many candidates are STILL unresolved because of that word (most first).
# After you fill it in and re-run, that word's "Remaining" becomes 0 — 0 is normal (it means done).
#
# * Write the translation as a NOUN. Words are automatically joined with the particle "の", so
#   writing an adjectival/verb form (e.g. Japanese "〜した"/"〜れた"/"〜く") breaks the composition
#   (produces something like "卓越したの体力", grammatically wrong).
#   Example: 卓越した→卓越, 汚染された→汚染, 錆びた→錆, なびく→はためき
#   A trailing "の" is also unnecessary ("魂の"→"魂" — keeping it produces the doubled "魂のの抱擁").
#
# - Leaving a row blank is fine — any name containing that word simply stays untranslated (in English).
#   You can skip an entire mod's file too.
# - For a word that's an internal tag and should be output as-is, untranslated (e.g. "SMP", "3BBB"), write "=" in the Japanese column.
# - This glossary is used ONLY for this mod's candidates. Unlike the shared Data/name_glossary.tsv,
#   it never affects any other mod, so it only needs to fit this mod's own item lineup (no need for strict generality).
# - The Japanese column is preserved across regeneration (never overwritten), and rows are never dropped.
#
# English	Japanese	Remaining	Example
Hawkeye		0	
Wraithwalker		0	
Hailstorm		0	
Plaguebearer		0	
Windborne		0	
Behold!		0	
Necromaster		0	
Weaponmaster		0	
Windfall		0	
Witchdrum		0	
Wolfstooth		0	
Aurification		0	
Deadeye		0	
Doombringer		0	
Fimbulvetr		0	
Maelstrom		0	
Regalia		0	
Secretkeeper		0	
SKSE		0	
Snakebite		0	
Soulcrusher		0	
TESTSTAGGER		0	
Mastery		0	
Witchmaster		0	
NPC		0	
Specialization		0	
Arcana		0	
Dormant		0	
Dust		0	
Welloc's		0	
Tier		0	
a		0	
Bone		0	
Plaything		0	
Alter		0	
Bleed		0	
Clash		0	
Fate		0	
Like		0	
Skystrike		0	
Wild		0	
Blows		0	
Collector		0	
Dream		0	
in		0	
Laughing		0	
World		0	
Advanced		0	
Double		0	
Lore		0	
One-Handed		0	
Unavailable		0	
Gods		0	
Guardian		0	
Blow		0	
Comes		0	
Crushing		0	
Curtain		0	
Slayer		0	
Sons		0	
Thousand		0	
Two-Handed		0	
Charge		0	
Disaster		0	
Gem		0	
Into		0	
Nemesis		0	
Proc		0	
Smoke		0	
Walking		0	
Autocannon		0	
Hallowed		0	
Lab		0	
Partystarter		0	
Placed		0	
Presence		0	
Rise		0	
Serpent		0	
Tapestry		0	
Weighs		0	
Creation		0	
Dreaming		0	
Heroes		0	
Hissing		0	
Lamb		0	
Lucid		0	
Marks		0	
Merciful		0	
Nova		0	
Outburst		0	
Rallying		0	
Robber's		0	
Speed		0	
Standard		0	
Timed		0	
Trained		0	
Vancian		0	
Absolute		0	
Bait		0	
Bones		0	
Calming		0	
Clean		0	
Container		0	
Critical		0	
Detection		0	
Elemental		0	
Empower		0	
Extend		0	
Field		0	
Forged		0	
Free		0	
Gaze		0	
Gutter		0	
Last		0	
Majesty		0	
Massacre		0	
Merciless		0	
Meric		0	
Meteor		0	
Mocking		0	
Mutiny		0	
Performer		0	
Plague		0	
Quad		0	
Ramming		0	
Reap		0	
Rend		0	
Spellscribe		0	
Stormblast		0	
Subjugate		0	
Thesis		0	
Three		0	
Thu'um		0	
Tutors		0	
Ward		0	
Wolfkin		0	
Workshop		0	
Above		0	
All		0	
Bisect		0	
Bthan-Drung		0	
Cloud		0	
Coiling		0	
Commanding		0	
Dance		0	
Dead		0	
Decimate		0	
Doctor		0	
Earthquake		0	
Electrobolt		0	
Emperor		0	
Escape		0	
Exotic		0	
Falling		0	
Greased		0	
Grim		0	
Humiliate		0	
Iced		0	
Incubus		0	
Initiative		0	
Innate		0	
Law		0	
Lead		0	
Luck		0	
Natural		0	
Not		0	
Nullifier		0	
On		0	
Pendulum		0	
Perform		0	
Planar		0	
Possession		0	
Rat		0	
Resistances		0	
Shatter		0	
Shell		0	
Shot		0	
Spot		0	
Tempting		0	
This		0	
Thundering		0	
Tide		0	
Word		0	
You		0	
(Drain		0	
<Alias=ORD_Player>'s		0	
Acts		0	
Afterglow		0	
Aim		0	
Ambush		0	
Amplify		0	
Apotheosis		0	
Arc		0	
Armormaster		0	
Backup		0	
Blast		0	
Break		0	
Cataclysm		0	
Companion		0	
Conjure		0	
Crusader's		0	
Daughter		0	
Deadfall		0	
Declaw		0	
Defiance		0	
Denting		0	
Descending		0	
Dimension		0	
Disengage		0	
Does		0	
Drummer		0	
Dynamic		0	
Edge		0	
Emergency		0	
Enemy		0	
Entry		0	
Faerie		0	
Fist		0	
Flash		0	
Geas		0	
God		0	
Home		0	
