# SPERG-SSE.esp — glossary scoped to this mod only
#
# The words below are ones the tool could not resolve while trying to translate this mod's item
# "names". Fill in the Japanese column and re-run translation to resolve every name containing it.
# "Remaining" is how many candidates are STILL unresolved because of that word (most first).
# After you fill it in and re-run, that word's "Remaining" becomes 0 — 0 is normal (it means done).
#
# * Write the translation as a NOUN. Words are automatically joined with the particle "の", so
#   writing an adjectival/verb form (e.g. Japanese "〜した"/"〜れた"/"〜く") breaks the composition
#   (produces something like "卓越したの体力", grammatically wrong).
#   Example: 卓越した→卓越, 汚染された→汚染, 錆びた→錆, なびく→はためき
#   A trailing "の" is also unnecessary ("魂の"→"魂" — keeping it produces the doubled "魂のの抱擁").
#
# - Leaving a row blank is fine — any name containing that word simply stays untranslated (in English).
#   You can skip an entire mod's file too.
# - For a word that's an internal tag and should be output as-is, untranslated (e.g. "SMP", "3BBB"), write "=" in the Japanese column.
# - This glossary is used ONLY for this mod's candidates. Unlike the shared Data/name_glossary.tsv,
#   it never affects any other mod, so it only needs to fit this mod's own item lineup (no need for strict generality).
# - The Japanese column is preserved across regeneration (never overwritten), and rows are never dropped.
#
# English	Japanese	Remaining	Example
Envenom		0	
Nevermind		0	
SPE		0	
Succor		0	
Swampwalkers		0	
Test		0	
Side		0	
Stunted		0	
Awakened		0	
Mastery		0	
Conjure		0	
Empowered		0	
Ancestral		0	
Beast		0	
Dual		0	
Warding		0	
Feedback		0	
Armory		0	
Converter		0	
Hunting		0	
Blackguard		0	
Bloodlust		0	
Casting		0	
Dummy		0	
Eagle's		0	
Elemental		0	
Frozen		0	
Inconspicuous		0	
Instinct		0	
Keen		0	
Melee		0	
Presence		0	
Rallying		0	
Silent		0	
Speed		0	
Adaptation		0	
Amplification		0	
Bolster		0	
Cell		0	
Charge		0	
Daze		0	
Dragonsbane		0	
Good		0	
Guardian		0	
Haste		0	
of		0	
Plague		0	
Powdered		0	
Prince		0	
Resistance		0	
Savior's		0	
Spectral		0	
Stag		0	
Ward		0	
Adrenaline		0	
Ancestor's		0	
Appeals		0	
Archmage's		0	
Armorer		0	
Artifact		0	
Best		0	
Blast		0	
Blows		0	
Brew		0	
Burst		0	
Call		0	
Clothing		0	
Commit		0	
Counterattack		0	
Crime		0	
Critical		0	
Cry		0	
Custom		0	
Deflection		0	
Discipline		0	
Doom		0	
Echo		0	
Emperor		0	
Eterian		0	
Exploding		0	
Fortifier		0	
Friend		0	
Grave		0	
Hoof		0	
Howl		0	
Intoxicated		0	
Knockback		0	
Matching		0	
Mystical		0	
Paralyzing		0	
Reflexes		0	
Reforged		0	
Retribution		0	
Rot		0	
Rush		0	
SabreCat		0	
Set		0	
Shot		0	
St.		0	
Steps		0	
Strangler		0	
Summon		0	
Survival		0	
Temperance		0	
Tireless		0	
Transferrance		0	
Trio		0	
Unarmed		0	
Will		0	
Wisdom		0	
<Alias.Race=CurrentPetAlias>		0	
Accoutrement		0	
Accurate		0	
Advanced		0	
Aegis		0	
Agile		0	
Alluring		0	
Archmage		0	
Artisan's		0	
Augur		0	
Bal		0	
Balm		0	
Bark		0	
Basic		0	
Beak		0	
Beginnings		0	
Binding		0	
Blackened		0	
Blazing		0	
Bloodthirsty		0	
Blunt		0	
Bonds		0	
Bone		0	
Brawler's		0	
Breaker		0	
Brigand's		0	
Brutal		0	
Burnt-out		0	
Capillaries		0	
Carrier		0	
Cast		0	
Cat's		0	
Chance		0	
Channeling		0	
Charge!		0	
Chip		0	
Congealed		0	
Conspicuous		0	
Constructs		0	
Contagious		0	
Conviction		0	
Core		0	
Corrosive		0	
Covenant		0	
Creatures		0	
Cripple		0	
Criticals		0	
Crushing		0	
Current		0	
Debate		0	
Dedication		0	
Demonslaying		0	
Desiccated		0	
Detect		0	
Diadem		0	
Diseased		0	
Dispersion		0	
Doubt		0	
Draconic		0	
Dragonsblood		0	
Drinker		0	
Drunken		0	
Dust		0	
Eagle		0	
Echoes		0	
Economy		0	
Edge		0	
Efficiency		0	
Eldritch		0	
Embrace		0	
End		0	
Endurance		0	
Enduring		0	
Engineer		0	
Ephemeral		0	
Everlasting		0	
Exorcism		0	
Expertise		0	
Familiarity		0	
Fate		0	
Fervor		0	
Fierce		0	
Fiery		0	
Film		0	
Fingers		0	
Fit		0	
