# Sentinel.esp — glossary scoped to this mod only
#
# The words below are ones the tool could not resolve while trying to translate this mod's item
# "names". Fill in the Japanese column and re-run translation to resolve every name containing it.
# "Remaining" is how many candidates are STILL unresolved because of that word (most first).
# After you fill it in and re-run, that word's "Remaining" becomes 0 — 0 is normal (it means done).
#
# * Write the translation as a NOUN. Words are automatically joined with the particle "の", so
#   writing an adjectival/verb form (e.g. Japanese "〜した"/"〜れた"/"〜く") breaks the composition
#   (produces something like "卓越したの体力", grammatically wrong).
#   Example: 卓越した→卓越, 汚染された→汚染, 錆びた→錆, なびく→はためき
#   A trailing "の" is also unnecessary ("魂の"→"魂" — keeping it produces the doubled "魂のの抱擁").
#
# - Leaving a row blank is fine — any name containing that word simply stays untranslated (in English).
#   You can skip an entire mod's file too.
# - For a word that's an internal tag and should be output as-is, untranslated (e.g. "SMP", "3BBB"), write "=" in the Japanese column.
# - This glossary is used ONLY for this mod's candidates. Unlike the shared Data/name_glossary.tsv,
#   it never affects any other mod, so it only needs to fit this mod's own item lineup (no need for strict generality).
# - The Japanese column is preserved across regeneration (never overwritten), and rows are never dropped.
#
# English	Japanese	Remaining	Example
Rugged		0	
Northern		0	
Lamellar		0	
Braided		0	
Chainmail		0	
Robed		0	
Warchief		0	
Vigil		0	
Banded		0	
Wrought		0	
Companion		0	
Runic		0	
Housecarl		0	
Velothi		0	
Mail		0	
Bearded		0	
Cape		0	
Collar		0	
Gambeson		0	
Great		0	
Aketon		0	
Arming		0	
Brigandine		0	
Broadaxe		0	
Coif		0	
Conical		0	
Cuirass		0	
Hafted		0	
Lowered		0	
Padded		0	
Sallet		0	
Shoulder		0	
Officer		0	
Tunic		0	
Studded		0	
Wild		0	
Battlemage		0	
