# Skyrim.esm — glossary scoped to this mod only
#
# The words below are ones the tool could not resolve while trying to translate this mod's item
# "names". Fill in the Japanese column and re-run translation to resolve every name containing it.
# "Remaining" is how many candidates are STILL unresolved because of that word (most first).
# After you fill it in and re-run, that word's "Remaining" becomes 0 — 0 is normal (it means done).
#
# * Write the translation as a NOUN. Words are automatically joined with the particle "の", so
#   writing an adjectival/verb form (e.g. Japanese "〜した"/"〜れた"/"〜く") breaks the composition
#   (produces something like "卓越したの体力", grammatically wrong).
#   Example: 卓越した→卓越, 汚染された→汚染, 錆びた→錆, なびく→はためき
#   A trailing "の" is also unnecessary ("魂の"→"魂" — keeping it produces the doubled "魂のの抱擁").
#
# - Leaving a row blank is fine — any name containing that word simply stays untranslated (in English).
#   You can skip an entire mod's file too.
# - For a word that's an internal tag and should be output as-is, untranslated (e.g. "SMP", "3BBB"), write "=" in the Japanese column.
# - This glossary is used ONLY for this mod's candidates. Unlike the shared Data/name_glossary.tsv,
#   it never affects any other mod, so it only needs to fit this mod's own item lineup (no need for strict generality).
# - The Japanese column is preserved across regeneration (never overwritten), and rows are never dropped.
#
# English	Japanese	Remaining	Example
AlduinDeath		0	
Abc		0	
B4		0	
Click		0	
D3n		0	
D4		0	
Def		0	
Dun		0	
F1s		0	
F2m		0	
Ghijklmnop		0	
Gr4		0	
Gut		0	
H1l		0	
J8r		0	
K1l		0	
K1n		0	
K8r		0	
Kr3		0	
Kr4		0	
L1s		0	
Lo		0	
M1r		0	
M7		0	
M9		0	
N4		0	
N7		0	
Od		0	
Qo		0	
Qrstu		0	
R1n		0	
Ro		0	
Sah		0	
T3d		0	
T4		0	
T8r		0	
Test		0	
Trigger		0	
Ul		0	
V3k		0	
V4		0	
VWXYZ		0	
Y4		0	
Z3		0	
Z4		0	
Z8r		0	
Zul		0	
Call		0	
