# Vokriinator Black.esp — glossary scoped to this mod only
#
# The words below are ones the tool could not resolve while trying to translate this mod's item
# "names". Fill in the Japanese column and re-run translation to resolve every name containing it.
# "Remaining" is how many candidates are STILL unresolved because of that word (most first).
# After you fill it in and re-run, that word's "Remaining" becomes 0 — 0 is normal (it means done).
#
# * Write the translation as a NOUN. Words are automatically joined with the particle "の", so
#   writing an adjectival/verb form (e.g. Japanese "〜した"/"〜れた"/"〜く") breaks the composition
#   (produces something like "卓越したの体力", grammatically wrong).
#   Example: 卓越した→卓越, 汚染された→汚染, 錆びた→錆, なびく→はためき
#   A trailing "の" is also unnecessary ("魂の"→"魂" — keeping it produces the doubled "魂のの抱擁").
#
# - Leaving a row blank is fine — any name containing that word simply stays untranslated (in English).
#   You can skip an entire mod's file too.
# - For a word that's an internal tag and should be output as-is, untranslated (e.g. "SMP", "3BBB"), write "=" in the Japanese column.
# - This glossary is used ONLY for this mod's candidates. Unlike the shared Data/name_glossary.tsv,
#   it never affects any other mod, so it only needs to fit this mod's own item lineup (no need for strict generality).
# - The Japanese column is preserved across regeneration (never overwritten), and rows are never dropped.
#
# English	Japanese	Remaining	Example
Wolfstooth		0	
Aurification		0	
Lightwielder		0	
Oblivious		0	
Blows		0	
Denting		0	
Shot		0	
Detect		0	
Guidance		0	
Monarch		0	
Crown		0	
Elemental		0	
Exterior		0	
(Dummy)		0	
Bell		0	
Blow		0	
Breach		0	
Cobra		0	
Conjure		0	
Flurry		0	
Heavens		0	
In		0	
Kinsmen		0	
Of		0	
Pounce		0	
Rise		0	
Shieldbiter		0	
Split		0	
Swaying		0	
Telekinetic		0	
Toll		0	
Windswept		0	
All		0	
Bone		0	
Breeze		0	
Caressing		0	
Charge		0	
Dust		0	
Enemy		0	
Escape		0	
False		0	
Fencer		0	
Friend		0	
Glorious		0	
Hethoth's		0	
Inner		0	
Judgment		0	
Lawless		0	
Lord		0	
Metabolism		0	
Nethertoxin		0	
Padding		0	
Paralyzing		0	
Point		0	
Preparation		0	
Presence		0	
Pugilist		0	
Ravage		0	
Shadow		0	
Silent		0	
Spectral		0	
Stimulants		0	
Synergy		0	
Tough		0	
Unyielding		0	
Veiled		0	
Adamant		0	
Adrenaline		0	
Advanced		0	
Adventurous		0	
Affinity		0	
Affliction		0	
Anima		0	
Antimagic		0	
Applied		0	
Arise		0	
Arm		0	
Armory		0	
Artificer		0	
Artist		0	
Aurora		0	
Beak		0	
Beast		0	
Beastial		0	
Beastmaster		0	
Bedlam		0	
Behind		0	
Beryl		0	
Binding		0	
Bladedancer		0	
Blast		0	
Blaze		0	
Bonecraft		0	
Bones		0	
Brave		0	
Breaching		0	
Breath		0	
Brew		0	
Brigand's		0	
Builder		0	
Calming		0	
Casting		0	
Catcher		0	
Charged		0	
Charging		0	
Cheap		0	
Chilled		0	
Chilling		0	
Clarity		0	
Cocktail		0	
Collector		0	
Conductivity		0	
Conflux		0	
Conspicuous		0	
Core		0	
Corrosive		0	
Crater		0	
Crippling		0	
Crush		0	
Culling		0	
Dance		0	
Dawnbringer		0	
Debilitation		0	
Debonaire		0	
Decoy		0	
Deep		0	
Delver		0	
Dervish		0	
Diable		0	
Disable		0	
Disarming		0	
Disjunction		0	
Doctor		0	
Draconic		0	
Drunken		0	
Dummy		0	
Dweller		0	
Eater		0	
Echo		0	
Edgewalker		0	
Eidolon		0	
Eldritch		0	
Elementalist		0	
Embroidered		0	
Empire		0	
Empowered		0	
Energies		0	
Enervating		0	
Fate		0	
Feedback		0	
Fickle		0	
Field		0	
Finishing		0	
First		0	
Flash		0	
Flutter		0	
Foreign		0	
Form		0	
Fortification		0	
Free		0	
Frostborn		0	
Gap		0	
Geas		0	
Gem		0	
Geomancer		0	
Giantborn		0	
Gift		0	
Glacial		0	
Gourmet		0	
Grave		0	
Great		0	
Hallowed		0	
Hidden		0	
Hissing		0	
Holy		0	
Hustler		0	
Hypnotize		0	
Illumination		0	
Immobilize		0	
Immovable		0	
Impaling		0	
Indomitable		0	
Infusion		0	
Initiate's		0	
Insulating		0	
Intent		0	
Jinada		0	
Kick		0	
Kneel		0	
Knockout		0	
Layered		0	
Line		0	
Lithe		0	
Livid		0	
Lore		0	
Lotus		0	
Maenad		0	
Maiden		0	
Majesty		0	
Maker		0	
Malformed		0	
Malison		0	
Mana		0	
March		0	
Markets		0	
Mastery		0	
Merciful		0	
Might		0	
Mounted		0	
Mule		0	
Murderous		0	
Mutagen		0	
Myth		0	
Necromaster		0	
Neverworld		0	
Nexus		0	
Nightwatch		0	
Numbers		0	
Object		0	
Ocato's		0	
On		0	
Ossuary		0	
Overflow		0	
Overwhelm		0	
Pain		0	
Pandemonium		0	
Panic		0	
Parry		0	
Piercing		0	
Preserver		0	
Private		0	
Prospector		0	
