# [Caenarvon] Cosplay Pack Gala.esp — glossary scoped to this mod only
#
# The words below are ones the tool could not resolve while trying to translate this mod's item
# "names". Fill in the Japanese column and re-run translation to resolve every name containing it.
# "Remaining" is how many candidates are STILL unresolved because of that word (most first).
# After you fill it in and re-run, that word's "Remaining" becomes 0 — 0 is normal (it means done).
#
# * Write the translation as a NOUN. Words are automatically joined with the particle "の", so
#   writing an adjectival/verb form (e.g. Japanese "〜した"/"〜れた"/"〜く") breaks the composition
#   (produces something like "卓越したの体力", grammatically wrong).
#   Example: 卓越した→卓越, 汚染された→汚染, 錆びた→錆, なびく→はためき
#   A trailing "の" is also unnecessary ("魂の"→"魂" — keeping it produces the doubled "魂のの抱擁").
#
# - Leaving a row blank is fine — any name containing that word simply stays untranslated (in English).
#   You can skip an entire mod's file too.
# - For a word that's an internal tag and should be output as-is, untranslated (e.g. "SMP", "3BBB"), write "=" in the Japanese column.
# - This glossary is used ONLY for this mod's candidates. Unlike the shared Data/name_glossary.tsv,
#   it never affects any other mod, so it only needs to fit this mod's own item lineup (no need for strict generality).
# - The Japanese column is preserved across regeneration (never overwritten), and rows are never dropped.
#
# English	Japanese	Remaining	Example
Cosplay		0	
Gala		0	
(Lewd)		0	
Strapped		0	
Tuxedo		0	
Undie		0	
Noire		0	
Boa		0	
Choker		0	
Dreamcore		0	
'Patricia'		0	
Armlet		0	
Dior		0	
Strawberry		0	
Blockheels		0	
Highheels		0	
Order		0	
Platform		0	
Sandal		0	
Stiletto		0	
'Belladona'		0	
'Hellene'		0	
'Mandarin'		0	
'Manhattan'		0	
'Meeresbrise'		0	
'Rosalina'		0	
'Saturnalia'		0	
'Thorn		0	
Princess'		0	
Suit		0	
Blanche		0	
Bracelet		0	
Argentee		0	
Bohemian		0	
Cinderella		0	
Faraday		0	
Thorn		0	
Princess		0	
'San		0	
Sarcelle		0	
Thighlet		0	
Velvet		0	
'Buckingham'		0	
'Magnolia'		0	
'Signora'		0	
'Triple		0	
(Cape)		0	
Ascot		0	
Blouse		0	
Bowtie		0	
Chain-String		0	
Cloth		0	
Denis'		0	
Feather		0	
Gorget'		0	
Lace		0	
Magnolia		0	
Sash		0	
Scarf		0	
Shirt		0	
Slack		0	
Belladora		0	
Bloody		0	
Celestine		0	
G-String		0	
Stars		0	
'Cerberus'		0	
Athenian		0	
Blackforest		0	
Crown		0	
Neokitsch		0	
Pearl-String		0	
Seafoam		0	
Stripe		0	
T-String		0	
Tanga		0	
Thong		0	
YorHa		0	
'Chainon'		0	
Allsunday		0	
Beige		0	
Cerulean		0	
Coil		0	
Crimson		0	
Dubai		0	
Formal		0	
Jackal		0	
Jacket		0	
Motherpearl		0	
Sangria		0	
'Celestia'		0	
'Eisglanz'		0	
'Golden		0	
'Prismarine'		0	
Arabian		0	
Asgardian		0	
Blance		0	
Cinnabar		0	
Copperwork		0	
Dentelle		0	
Dews		0	
Elizabeth		0	
Flamingo		0	
Hammered		0	
Harness		0	
Icing		0	
Jadite		0	
Mariee		0	
Navy		0	
Nightveil		0	
Niore		0	
Order'		0	
Panties		0	
Pearl-String-		0	
Phoenician		0	
Pomegranate		0	
Raven		0	
Rose'		0	
Rosemarry		0	
Safari		0	
Silverleaf		0	
Silverwork		0	
Simple		0	
Soiedoree		0	
Spiral		0	
Star'		0	
Swan		0	
Swirl		0	
Sylvervine		0	
T-String-		0	
Tanga-		0	
Thong-		0	
Thousand		0	
Thundercloud		0	
Vermilion		0	
Vermillion		0	
'Ashen		0	
'Clearwater'		0	
'Columbina'		0	
'Elizabeth's		0	
'Full		0	
'Givree'		0	
'Heartlocke'		0	
'La		0	
'Les		0	
'Lunarian'		0	
'Lysdeglace'		0	
'Mermaid's		0	
'Miroirduciel'		0	
'Morgentau'		0	
'Neptunian'		0	
'Orion'		0	
'Prinz		0	
'Resonance'		0	
'Sandywater'		0	
'Seraphim'		0	
'Sunnyside'		0	
'Tartary's		0	
'Torquem		0	
'Twin		0	
'Winter		0	
Ads		0	
Antique		0	
Aquamarine		0	
Augusta		0	
Augusta'		0	
Bavarian		0	
Birthday		0	
Catherine		0	
Cerisers'		0	
Chateau		0	
Clearsky		0	
Corazon'		0	
Deux		0	
Dominique		0	
Earring		0	
Erdtree		0	
Erika'		0	
Forest		0	
G-String-		0	
Girl		0	
Heartstring		0	
Imperiale		0	
Jargua		0	
Maiden		0	
Militaire		0	
Miss		0	
Moon'		0	
Nacre		0	
Obsidian		0	
Ornyx		0	
Prom		0	
Pure		0	
Queen		0	
Rubine		0	
Sacramento		0	
Sages''		0	
Sea		0	
Slava		0	
Snapdragon		0	
Snowhare		0	
Soeurs''		0	
Star		0	
Starry		0	
Straps		0	
Tear'		0	
Universe		0	
Vulture		0	
Wig		0	
